var-1,var-2,var-3,var-4,var-5,Common,English Translated
larhakpan,laruhakpan,larhikpen,larhakpen,lerhakpan,laruhakpan,Folly
nibha,nbha,,,,nibha,Fulfill
salaamt,Salamat,salamt,sallamat,slamat,Salamat,Safe
khelaf,khilaf,khilaaf,khelaaf,khaylaf,khilaf,Against
chor,choor,chorr,chour,,chor,Thief
tajawizat,tajawizaat,,,,tajawizat,Violations
bandey,banday,bundy,bandy,bndy,bandy,People
rawa,rawan,ranwa,,,rawa,Naked
aah,ahh,ah,ahhh,,ahh,Ah
sur,surr,,,,sur,Tune
pala,palaa,,,,pala,Bred
likhay,likhey,likhy,likhye,,likhay,Written
yahe,yahee,yahein,yahen,Yahi,Yahi,This
hasbe,hasbi,,,,hasbi,Adequate
phle,pahile,,,,pahile,First
aj,aaj,ajj,,,aaj,Today
Crorepati,crorepatti,carorepati,,,Crorepati,Millionaire
ahmaqana,ahmikana,ahmqana,,,ahmaqana,Foolish
ghutika,ghutkaa,,,,ghutika,Tablet
badshah,bashaa,badshaa,baadshah,,badshah,King
kharchon,kharchoun,kharichon,,,kharchon,Expenses
tamannaon,tamannao,,,,tamannao,Desires
adhora,adhura,,,,adhora,Incomplete
wazify,wazeefy,wzeefy,wzify,wazefy,wazify,Affirmations
aksar,axr,akser,aksr,aqsar,aksar,Often
khatma,khatmah,khatima,khatema,,khatma,End
mante,manti,mnte,manite,,mante,Believes
ghuzarunga,ghuzarnga,guzaarunga,guzarunga,guzarnga,ghuzarunga,I will spend
Quran,,,,,Quran,Quran
mahana,mhana,,,,mahana,Monthly
Jidah,jiddah,,,,jiddah,Effort
ghardari,ghardaare,,,,ghardari,Stubbornness
khushi,khoshi,kushi,,,khushi,Happiness
Sundari,sundare,,,,Sundari,Beautiful woman
khole,kholi,,,,kholi,Opened
kuky,kukay,,,,kuky,Cookie
Taqatwar,takatwar,,,,Taqatwar,Powerful
aurtain,Aurtein,ortain,oratain,ouratain,ortain,Females
khezi,khaize,khaizi,khazi,,khezi,Behavior
laalchi,lalchi,lalche,laalche,laalchee,lalchi,Greedy
likhane,likhani,lkhni,,,likhane,Writing
pakad,Pakar,pakr,pkar,pkr,Pakar,Grip
pasli,pusli,,,,pasli,Rib
fitrat,fitret,,,,fitrat,Nature
daraata,darata,drata,darataa,derata,darata,Frightens
awaaragardi,awaragaridy,,,,awaragaridy,Incompetence
farman,furmaan,farmaan,,,farman,Order
sain,,,,,sain,Master
lararaha,lararha,,,,lararaha,Fighting
phansiyan,phansiyn,,,,phansiyan,Gallows
paighambaron,peghambron,paighambaro,,,paighambaron,Prophets
daur,dor ,dour,,,dor ,Era
khakay,khakey,khaakay,khaakey,,khakay,Trenches
jaten,jatin,jatun,,,jatin,Efforts
khantay,,,,,khantay,Shovel
pochiye,poochey,,,,pochiye,Inquired
Masti,mastti,,,,Masti,Fun
karkun,karkoon,karkon,,,karkun,Worker
hogy,hongy,,,,hongy,Will be
nashist,nushist,,,,nashist,Gathering
hamaisha,hameshaa,hamesha,humaisha,humesha,hamaisha,Always
Bardasht,bardash,bardhast,bardaasht,,Bardasht,Tolerance
Pachtaya,puchtaya,,,,puchtaya,Asked
gharanay,gharaney,gharaany,,,gharanay,Families
qanoondaano,qanondano,,,,qanondano,Lawyers
Manzoor,manzor,Manzur,mnzor,,Manzoor,Approved
danay,dany,daney,,,danay,Grains
khushhaali,khushhali,,,,khushhaali,Prosperity
haal,hal,Hall,,,haal,State
haftawar,haftwaar,haftawaar,huftawr,haftwar,haftawar,Weekly
hilanay,hilaanay,hilaney,,,hilanay,Shaking
laga,lagaa,lagga,lga,lgaa,laga,Attached
taqreb,taqreeb,,,,taqreeb,Event
hote,hotee,hoti,hotii,huti,hoti,Happens
usi,ose,osi,osse,use,usi,Same
posh,,,,,posh,Hidden
sambhali,sanbhale,,,,sanbhale,Manage
ja,jaa,,,,ja,Go
Haq,huq,huqq,,,Haq,Right
madrason,madurson,madirson,,,madrason,Schools
Raastay,raaste,Rastay,raste,rasty,Rastay,Paths
shobon,,,,,shobon,Nights
mare,mari,mri,mre,mere,mare,Struck
Noori,nori,,,,Noori,Radiant
tajerbaat,tajirbat,tajurbat,tajurbaat,,tajirbat,Experiences
khate,khati,khaati,khaate,,khati,Mistake
gharana,gharaana,ghraana,,,gharana,Family
zikar,zikr,ziker,,,zikar,Mention
bahany,bahaney,bahanay,bahane,,bahany,Excuses
waqeya,Waqia,Waqiya,wakiya,wakeya,waqeya,Incident
aetimad,aitmad,aitemad,aitamad,etemad,aitmad,Trust
karo,karoo,kro,,,karo,Do
tarjumey,tarjimay,,,,tarjumey,Translations
qayamat,kayamat,qyamat,qyamt,,qayamat,Doomsday
yunhi,younhi,,,,yunhi,Just like that
urain,,,,,urain,Fly
kamar,kamur,kamer,Qamar,,kamar,Waist
mauzoo,mozo,mauzu,,,mauzoo,Subject
ghuzre,ghuzri,guzre,guzri,,guzre,Passed
malboos,malbos,malbus,malboss,,malboos,Dressed
kahon,kahoon,kahun,kahoun,kahounn,kahun,Say
shab,shub,,,,shab,Night
ruk,,,,,ruk,Stop
dehsht,dehshat,dahshat,,,dahshat,Terror
Kharabi,kharaabi,kharaabe,,,Kharabi,Defect
galiya,galiyan,galyan,galliyan,galyn,galiya,Abuse
churail,chorail,churel,,,chorail,Witch
lagaon,lagaou,lagaoun,lagaun,lgaon,lgaon,Attach
bagahe,bagai,bhagae,bhagai,,bhagae,Escape
palte,palti,,,,palte,Change
chugli,chuglii,chglii,chugle,,chugli,Gossip
waise,waisi,wasi,wase,wise,waise,Similarly
Jayalon,jiyaalo,jiyalo,,,Jayalon,Friends
aehbaab,ahbab,,,,ahbab,Loved ones
bahaal,Bahal,,,,Bahal,Restored
kah,kh,kahh,kaih,keh,kah,Say
Honewale,Honewali,honywali,honywale,honiwli,honywali,Upcoming
hadsaat,Hadsat,haadisat,hadisat,hdisat,Hadsat,Accidents
tok,touk,,,,tok,Stop
sharamnaak,sharamnak,,,,sharamnaak,Shameful
se,,,,,se,From
khayanat,khiyanat,kheyanat,khayaanat,khiyant,khiyanat,Betrayal
akhbaraat,akhbarat,ikhbarat,,,akhbarat,News
golokar,golukar,,,,goliyan,Bullets
taleemi,talemi,taalemi,taaleemi,,taleemi,Educational
dhabay,dhaby,dhabey,dhaaby,dhaabay,dhaby,Punishments
jetaye,jeetai,jeetae,,,jetaye,Win
gazal,gazl,ghazal,ghazl,,ghazal,Poem
jabkay,jabkey,jabke,kabky,,jabkay,While
tarang,,,,,tarang,Wave
humahang,hamaahang,hamahang,,,humahang,Parallel
nafl,nafil,,,,nafil,Extra
lagata,lagaata,lgata,,,lagata,Applies
sunaaey,sunain,sunney,Sunny,suny,sunain,Listen
sazaon,sazao,,,,sazao,Consequences
oski,uske,uski,oske,,uske,His/Her
siphiyon,supahiyon,sipahiyoun,,,siphiyon,Soldiers
rooth,ruth,roth,,,ruth,Anger
hatta,hutta,,,,hatta,Boundary
Amirana,ameerana,,,,Amirana,Royal
Hazro,haazro,haazru,,,Hazro,A thousand
Rahman,rahmaan,Rehman,,,Rahman,Merciful
Tambaco,tambakoo,,,,Tambaco,Tobacco
yaab,,,,,yaab,Disgraceful
hurmat,hurmet,,,,hurmat,Respect
jaay,jaaye,jay,Jaey,jy,jay,Victory
abhi,abhe,abhee,abe,abi,abhi,Now
Halakat,halaket,halaqat,halaaqat,halaqet,Halakat,Destruction
sar-e-iqtedaar,,,,,sar-e-iqtedaar,In power
torna,toorna,tourna,,,torna,To break
Hazrat,Hazrt,,,,Hazrat,Respectful term for someone esteemed
aakhir,akhir,akher,akhr,,akhir,Finally
balkey,blky,balkay,balky,,balkay,Rather
Haddi,hadde,,,,Haddi,Bone
Dewana,deewana,devana,dewanaa,,Dewana,Mad
aawara,awara,,,,awara,Wanderer
khila,khilaa,,,,khila,Blossomed
Shuhada,shuhuda,,,,Shuhada,Martyrs
talib,tallib,taalib,,,talib,Student
chaand,chand,chnd,,,chand,Moon
tasawurrat,tasavourat,tasawourat,tasavoraat,tassawuraat,tasawurrat,Imagination
ispay,Ispe,espay,,,ispay,On this
ude,ore,,,,ude,To fly
o,oo,oh,ohh,,oh,Expression of surprise or realization
sakon,sakun,sakoon,sukun,sukoon,sakon,Peace
Nafraat,nafrat,,,,nafrat,Hatred
khule,khuli,,,,khuli,Open
sahulat,sahulatt,,,,sahulat,Convenience
inkaar,inkar,inkear,ankaar,,inkar,Denial
imdade,imdadi,imdaadi,imdaade,,imdadi,Assistance
aahkoon,aankhon,aankon,ankhon,,aankon,Eyes
larari,larae,,,,larari,Argument
taiz,taizz,teez,tez,,taiz,Fast
qanone,Qanoni,Qanooni,qanuni,kanooni,qanone,Legal
majmoii,majmoi,majmoe,majmooe,majmuye,majmoi,Collective
taizi,teze,taize,,,taizi,Speediness
rokhi,rukhi,,,,rokhi,Slowness
hadeeso,hadiso,hadeesoun,hadison,,hadeeso,Sayings
pahucha,pahicha,pahoncha,,,pahucha,Reached
Haseen,hasin,,,,Haseen,Beautiful
Malkan,malikan,maliqan,,,malikan,Queens
aty,aaty,atty,aatey,aatay,aaty,Coming
akasi,aqasi,,,,aqasi,Delay
kiunkay,kiunke,kyoky,,,kiunkay,Because
sarhaya,,,,,sarhaya,Appreciated
Taala,tala,,,,tala,Lock
akhbar,akhbaar,ikhbar,,,akhbar,News
jiskay,jiskey,jskey,,,jiskay,Whose
zaroorat,zroorat,zarorat,Zarurat,zarort,zaroorat,Need
Asarat,assarat,asraat,asraaat,asrat,asrat,Effects
nigran,negraan,nigraan,,,nigran,Supervisor
pohancha,Pohoncha,,,,pohancha,Reached
ausool,asool,asol,usool,Aosol,asool,Principles
gawaye,gavaye,gawaae,,,gawaye,To lose
zaroori,zarori,zaruri,zaroorii,zaroore,zaroori,Necessary
jalana,,,,,jalana,To burn
haathi,haathe,,,,haathi,Elephant
aanso,aansoo,Ansoo,ansu,anso,ansu,Tears
payar,payr,peyar,piyaar,piyar,payar,Love
maoqa,moka,moqa,,,moka,Opportunity
damag,damagh,dimag,dimagh,,dimag,Brain
jagi,jage,jaagi,jaage,,jage,Awake
ghamsan,ghumsan,,,,ghumsan,Dizziness
Nihata,nihatta,nehitta,,,nihatta,Completely
ibaadat,ibadat,ibadt,ibadut,,ibadat,Worship
ratobat,ratubat,,,,ratobat,Moisture
Chacha,chaccha,chachaa,,,Chacha,Uncle
range,runghe,,,,range,Color
ghuzarne,guzarine,guzarni,guzarne,guzaarne,guzarine,Pass
Khamosh,khamoosh,khmosh,,,Khamosh,Quiet
sajana,sajanaa,,,,sajana,To decorate
pohanchegi,,,,,pohanchegi,Will reach
khudsy,khudsay,,,,khudsay,On its own
mashahoor,mashhoor,mashhor,mashoor,mashor,mashahoor,Famous
jane,jani,janni,,,jani,Dear
yaqoot,yakoot,,,,yaqoot,Ruby
aagy,agy,aagye,agay,Aagay,agay,Ahead
farasat,faraasat,,,,farasat,Insight
Gol,goul,,,,Gol,Round
marakaz,marakez,marakz,,,marakaz,Centers
maanay,maany,many,,,maanay,Meaning
naslain,naslein,nuslain,,,naslain,Generations
kinara,kinaara,,,,kinara,Shore
faramosh,farahmosh,farehmosh,,,farahmosh,Joyous
daawat,dawat,dawet,daawt,,dawat,Invitation
ikathay,ikathy,ikahathy,ekahathay,,ikathy,Gathered
laikar,layker,leykar,lekar,laykar,lekar,Carrying
haso,hanso,hunso,,,hanso,Laugh
tharki,thurke,tharke,,,tharki,Lustful
chutiya,chuttiya,chuttiyan,chutiyan,,chutiya,Fool
gahrai,gare,geri,,,gare,Ditch
hilate,hilaati,,,,hilate,Shake
waghaira,waghairah,waghera,wagherah,wagerah,waghaira,And so on
Zamana,zamaana,,,,Zamana,Era
Qabrustan,kabrustan,kabrustaan,,,Qabrustan,Graveyard
person,persun,pirsan,persan,,person,old man
tehleel,tahlel,tahlil,,,tehleel,Analysis
khrab,khrb,,,,khrab,Bad
bani,baani,banii,baane,baanii,bani,Creator
malkiyat,milkayat,milqayat,,,milkayat,Unity
takht,takhit,,,,takht,Throne
sooba,Suba,soba,,,soba,Province
kitaab,katab,ktaab,kitab,ketab,kitaab,Book
karde,kardi,kerdi,krdi,,kardi,Done
parta,,,,,parta,Reads
laal,lal,,,,laal,Red
phele,pheley,Phely,,,pheley,First
labon,lubbon,labo,,,labon,Lips
tasalsul,tasasul,,,,tasalsul,Continuity
likhoon,likhon,lkhon,,,likhon,Write
kaun,kon,koun,kun,kn,kon,Who
jinsi,jinse,jinsee,,,jinsi,Sexual
Shehrion,shehrioon,shehro,shehron,,Shehrion,Cities
faida,faidaa,faiyda,fiada,faidah,faida,Benefit
rogardani,rugardani,,,,rogardani,Hostility
shareen,shereen,Shireen,,,shareen,Sweet
hurf,harf,herf,,,harf,Word
aadtain,aadtan,aadtein,aadten,adaten,adaten,Habits
hamnawai,hamwawae,hamnawahi,hamnawae,humnawae,hamnawai,Harmony
peene,pene,,,,pene,To drink
tarap,,,,,tarap,Longing
phephron,,,,,phephron,Lungs
talluqi,taaluk,taluque,,,talluqi,Correspondence
kissy,kisy,kisay,kissay,,kisy,Someone
gaind,geind,gaindh,,,gaind,Ball
deegar,degar,,,,degar,Other
bajne,bajny,bajney,bajnay,,bajny,To ring
lekhnay,lekhny,likhnay,likhny,likhney,likhnay,Writing
qist,kist,,,,kist,Instalment
tajrba-kaar,Tajurbakar,tajurbakaar,tajerbakar,tajribekaar,Tajurbakar,Experienced
kachori,kachuri,,,,kachori,A type of snack
sadme,sadmey,sadmay,,,sadmey,Shocks
usney,usny,,,,usney,He/She
khilwarh,khilwaarh,khilwaar,khilwar,,khilwaar,Resistance
niralay,,,,,niralay,Alone
kaha,kahaa,,,,kaha,Said
lagy,laingay,laingy,lgy,lygy,lagy,Attached
lelia,lylea,lailya,,,lelia,Took
khamkha,kamaka,khamakha,,,khamkha,In vain
larkeya,larkiya,larkiyan,lrkiyan,,larkiya,Girls
neend,Nend,nind,,,neend,Sleep
giraibaan,girebaan,giraiban,giraeban,gireibaan,giraiban,Pocket
khushhaal,khushhal,,,,khushhal,Happy
khusoos,khasoos,,,,khusoos,Special
rawaiya,rawaiyya,rawaya,,,rawaiya,Behavior
nachwai,nachway,,,,nachway,To dance
honahar,honehaar,honihar,honehar,honihaar,honihar,Delicate
uthatay,uthaty,,,,uthatay,Lifting
tajzeye,tajzae,tajzey,,,tajzeye,Criticizing
Pochty,puchty,,,,Pochty,Inquire
bahan,bahain,behn,bahen,bahein,bahen,Sister
zibah,Zibbah,zibaah,,,Zibbah,Sacrifice
sansani,sansanni,,,,sansani,Sensation
sunaya,,,,,sunaya,Told
alaqay,alaqy,alaqye,ilaqy,,ilaqy,Areas
qibla,Qiblah,kibla,qibela,,qibla,Direction of prayer
Sacha,sachha,scha,,,Sacha,Truthful
ghambeer,ghamber,ghambir,gambeer,,ghamber,Bedroom
ahista,aahata,aahista,,,ahista,Slowly
ghazab,gazab,ghazb,gazb,,ghazab,Anger
amley,amilay,amily,,,amley,Matters
hidayatullah,hedayatullah,,,,hidayatullah,Guidance of Allah
khawand,khanwand,khawend,khawnd,,khawand,Husband
khasa,khaasa,,,,khasa,Special
insaan,Insan,ensaan,,,insaan,Human
khatarnaak,khatarnak,khaternak,khaternk,khternk,khatarnak,Dangerous
ikhtetam,ikhtitaam,ikhtitam,,,ikhtetam,Conclusion
Tumhay,tumhey,tumhein,tumhain,Tumhy,Tumhay,You
bach,bch ,,,,bach,Escape
Bakhash,Bakhsh,bakhs,baksh,,Bakhsh,Forgive
Dhachka,dhechka,dhchka,dhachika,,Dhachka,Shock
hawal,hawaal,haval,,,hawal,Reference
thora,thorha,thra,,,thora,A little
Pindal,,,,,Pindal,Pavilion
lafaani,lafani,lafaane,lafane,laafane,lafani,Boastful
kafalat,kaffalat,kafalut,,,kafalat,Guarantee
gungunane,gungunani,,,,gungunani,Humming
gharano,gharanon,gharaano,,,gharano,Families
parahy,paray,,,,paray,Others
laad,lad,ladd,,,laad,Pampered
kheley,khelay,khailay,,,khelay,Played
dabey,daby,dabay,dbay,,dabay,Pressed
bahimat ,bahimet,bahimt,,,bahimat ,Regardless
sikhaaya,sikhaya,sekhaya,seekhaya,,sikhaya,Taught
chupchap,chupchaap,,,,chupchap,Quietly
Walima,waleema,walema,,,Walima,Wedding feast
kathin,kathen,kathiin,,,kathin,Difficult
bahas,behes,bahus,bahes,,bahas,Debate
arsaallll,arsal,arsaal,Irsal,,arsal,Sending
sochitay,sacty,sochty,sochtay,sochtey,sochitay,Thinking
Gujarat,Gujrat,ghujraat,,,Gujrat,A city in Pakistan
kholne,kholni,kholnii,,,kholni,Opening
khoni,,,,,khoni,Culpable
karnay,karney,karny,kerny,krnay,karnay,Doing
sbhe,sabhi,sabhe,,,sabhi,Everyone
khelafat,khilafat,khelaft,khilaft,,khilafat,Opposition
dekhai,dikhae,,,,dekhai,Display
dalay,daly,daaly,daley,,dalay,Pulsations
karlen,karlain,,,,karlen,Do
Gori,gore,,,,gori,Fair-skinned woman
diyantdaar,deanatdar,diyantdar,diyanetdar,,diyanetdar,Caretaker
ihata,ehaata,ihaata,,,ehaata,Effort
goonj,gounj,gunj,Gunjh,goonjh,gounj,Echo
kashmakash,kashmaksh,kashmksh,kshmaksh,,kashmakash,Struggle
phada,phadda,phudda,,,phadda,Fight
aehkamat,ahkamat,,,,ahkamat,Orders
Rahengy,raheingia,rahenga,rahnga,rhyga,Rahengy,Will remain
sasta,sastaa,,,,sasta,Cheap
tazlil,tazleel,,,,tazlil,Insult
matam,matum,,,,matam,Mourning
Kaghazat,Kagzaat,kaghazaat,kagzat,,Kaghazat,Papers
baqiyon,bakiyon,baqeyon,bakion,bakeyoun,bakion,Remaining
Samaat,samat,,,,Samaat,Sense
majuza,mojiza,maujiza,mojza,,mojiza,Miracle
khajoir,khajoor,khajur,khajour,,khajoor,Date (fruit)
lalach,lalch,laalach,,,lalach,Greed
samaton,samaiton,samaeton,,,samaiton,Including
pohanchein,pohanchen,,,,pohanchein,Reach
ahad,,,,,ahad,Promise
zarb,zurb,,,,zarb,Strike
silay,,,,,silay,Rewards
bandi,bndi,bandii,bande,bannde,bandi,Imprisonment
rakhtay,rakhitay,rakhity,rakhtey,rakhty,rakhtay,Keep
mahir,,,,,mahir,Expert
radde,rade,raddi,,,radde,Rejection
theraya,thahraya,,,,thahraya,Stopped
khalifa,khaleefa,khalifaa,,,khalifa,Successor
gudgudi,gudgude,,,,gudgudi,Tickle
aaega,ayga,Aaiga,,,ayga,Will come
Nuqsandah,,,,,Nuqsandah,Harmful
paya,,,,,paya,Found
haqdar,haqdaar,hakdaar,,,haqdar,Deserving
Swabi,sawabi,,,,sawabi,Merit
kanday,kandhay,kandhai,,,kandhay,Shoulders
naujawani,nojawani,noujawani,,,nojawani,Youth
kaya,kya,kiya,kia,kea,kya,What
akkasi,akassi,,,,akkasi,Accuracy
Pahle,pahli,,,,Pahle,First
tamana,tamanna,Tammana,,,tamana,Desire
jab,jub,jabh,jb,,jab,When
mahrat,maharat,maharet,,,mahrat,Skill
fahad,,,,,fahad,Leopard
ghomnay,ghoomny,ghomny,ghumny,,ghomnay,Wandering
akhrajaat,akhrajat,ikhrajat,,,ikhrajat,Expenditures
naimat,namat,nemat,naimet,,naimat,Blessing
pelana,pilana,,,,pilana,Make drink
jhootay,jhoty,jhotay,jhooty,jhuty,jhoty,FALSE
waldain,walden,walidain,waliden,walideen,waldain,Parents
fahmi,fehmi,fahme,,,fahmi,Understanding
uth,oth,,,,uth,Get up
ne,ny,ney,,,ny,None
daandali,dhandhli,dandhli,daandhli,,dhandhli,Fraud
kehlate,kehlati,kehlaati,kehlaate,,kehlati,Called
haqayaq,haqaiq,haqaqi,,,haqaiq,Facts
darkar,drker,derker,durkar,,darkar,Needed
Mahbooba,muhbooba,mhbooba,mahboba,,Mahbooba,Beloved
baghawat,bagawat,bgawat,bagawt,bagaawat,bagawat,Rebellion
saliqa,saliqua,saleeqa,saleqa,,saliqa,Manner
gaani,gane,gani,gaane,,gane,Songs
jadogari,jadugare,jaddogare,jadoogari,jadugri,jadugare,Magicians
Peena,pena,,,,pena,To drink
h,hy,hai,hay,hye,hai,Is
utaar,utar,Uttar,,,utaar,Removal
zarat,zaraat,zarrat,,,zarat,Losses
pharna,,,,,pharna,To cook
waar,war,,,,waar,Attack
aashiqana,ashiqana,ashiquana,,,ashiqana,Lovingly
taiyar,tayaar,tayar,Tayyar,tyaar,tayaar,Ready
shaan,shan,,,,shaan,Dignity
ghusa,ghussa,gussa,gusa,,gussa,Anger
halakato,Halakaton,Halakton,halaqato,halaqeto,halakato,Disasters
tariqey,tarikay,,,,tariqey,Ways
mazar,mazaar,,,,mazar,Shrine
Lagana,lagaana,lgana,lgna,,Lagana,To put
shami,shamii,,,,shami,Syrian
libaas,Libas,,,,Libas,Clothing
Sunnat,sunat,,,,Sunnat,Tradition
hamry,hamrey,,,,hamry,Our
sharafat,sharaft,,,,sharafat,Decency
gaany,ganay,gaanay,ganey,,ganay,Melodies
laho,lahu,,,,lahu,Blood
Karay,karaye,keraye,krey,,Karay,Do
Rahimi,reheemi,Rahemi,rhemi,,Rahimi,Kindness
sunahre,sunihre,sunahri,,,sunahre,Golden
houn,hon,,,,hon,Be
kabar,kabbar,kabaar,kabhar,qabar,kabar,Grave
Zakhmio,zakhmo,,,,Zakhmio,Wounds
tohfon,tohfo,toufo,tofoun,,tohfon,Gifts
hukmarani,hukmerani,hukomrani,hukumrani,hukmarne,hukmarani,Rule
Indraj,endiraaj,endraj,,,Indraj,Indraj
siwae,Siwaye,,,,siwae,Except
raabta,rabita,Rabta,rbta,,rabita,Connection
chaatein,chahtain,chahten,,,chahtain,Desires
hadaf,hadaff,haduf,,,hadaf,Target
udari,udhaari,,,,udari,Generosity
hayaat,hayat,,,,hayat,Life
tapish,,,,,tapish,Heat
harta,haarta,haarita,harita,hartta,harta,Weary
manwate,munwate,mnwate,,,manwate,Making
khemey,khemay,,,,khemay,Dens
Akela,,,,,Akela,Alone
jannatul,janatul,,,,janatul,Heaven
zaat,zat,,,,zaat,Entity
dakhal,dakhl,dhakhel,dhakhal,,dakhal,Entry
Theka,theeka,thaika,,,theeka,Correct
sab,sb,sbb,sub,sabb,sab,All
adam,,,,,adam,Non
rakhaen,rakhain,rakhein,Rakhen,rakhhen,rakhain,Keep
Gilani,Gillani,gelani,,,Gilani,A name
Jild,jeld,,,,Jild,Skin
sada,sadaa,sadda,,,sada,Simple
baar,bar,br,,,baar,Time
sust,,,,,sust,Lazy
raftar,rafitaar,raftaar,,,raftar,Speed
harwaye,harwayi,hurwaye,,,harwaye,Defeated
Piyasay,,,,,Piyasay,Thirsty
naram,narm,nuram,,,naram,Soft
saamne,saaminay,saminay,smne,smny,saaminay,Rains
lagwane,lagiwane,lagwani,,,lagwani,To apply
notanki,notangi,notanke,,,notanki,Drama
darsgah,darasgah,derasgaah,darasgaah,dersgah,darsgah,Classroom
rishtedariyan,rishtedarya,rishtadarya,,,rishtedariyan,Relationships
gusalkhany,gusulkhany,,,,gusulkhany,Bathrooms
jalte,jalti,jaltii,jlti,,jalte,Burning
Ankhein,akhain,ankhin,ankhain,aankein,Ankhein,Eyes
haramekhore,haraamkhori,haramkhore,haramkhori,haraamkhore,haramekhore,Scoundrels
metha,meetha,methaa,,,metha,Sweet
surile,surele,,,,surile,Melodious
chordia,chordiya,chordiyaa,,,chordiya,Left
Naqis,nakis,,,,Naqis,Deficient
uthny,,,,,uthny,Wake up
khudkushiyan,khudkushyan,khudkshyan,,,khudkushiyan,Suicides
khane,khani,,,,khani,Tale
tang,Taang,,,,tang,Narrow
Himalaya,himaliya,himaaliya,,,Himalaya,Himalayas
jaise,jaisi,jysi,jasi,jase,jaise,Like
Niazi,Niyazi,,,,Niazi,A name
Sargam,,,,,Sargam,Melody
jange,jangi,jungi,,,jange,Struggle
hojaon,,,,,hojaon,Become
aourat,orat,aurat,auratt,ourat,orat,Woman
khabasat,khabast,khabasut,khibasat,khbasat,khabasat,Misfortune
sitara,sitarra,,,,sitara,Star
jal,jul,jall,,,jal,Burn
akasariyat,akseriat,akiseriat,,,akseriat,Majority
kasmay,kasmain,kasmen,ksmain,,kasmain,Promises
talba,talbah,taliba,,,talba,Students
apnate,apnati,,,,apnate,Adopt
aajai,aajay,aajaye,ajay,ajaye,aajay,Come
noha,nooha,nohha,,,noha,Lamentation
badla,badlaa,badlla,budlaa,,badlaa,Change
Zaahir,zahir,zaahr,zahar,,zahir,Apparent
mahjier,mahajre,muhajir,mahajir,muhaajir,muhajir,Immigrant
kashedgi,kashidgi,kasheedige,kashedge,kashidge,kashedgi,Hardship
manhoos,manhooss,manhos,munhoos,,manhoos,Unlucky
ikhraj,ikhraaj,akhraj,,,ikhraaj,Expulsion
Azaan,azan,,,,azan,Call to prayer
palat,palut,,,,palat,Turn around
sochenge,sochyngi,sochynge,sonchenge,,sochenge,Will think
sahre,sahri,,,,sahri,Pre-dawn meal
darkhast,darkhuwast,darkhawst,darkhwast,Darkhuast,darkhuwast,Request
naamwar,namwar,namwer,naamwr,,naamwar,Famous
amli,amle,,,,amle,Deeds
pabandiyan,pabandyan,pabendia,,,pabandiyan,Restrictions
sard,surd,,,,sard,Cold
Tedaad,taydaad,taydad,,,taydaad,Quantity
taufeek,taufeeq,,,,taufeeq,Success
nachna,nachina,,,,nachna,Dance
huma,humma,humaa,,,huma,A name
Banati,bnati,banatii,banate,,banate,Make
mahajireen,mahajreen,Mahajren,,,mahajireen,Migrants
saalo,salo,salon,,,saalo,Years
sarbarahaan,sarbarahan,,,,sarbarahaan,Leaders
jarahy,jaarahay,jarhy,jarihana,jarhana,jarihana,Continuously
Urane,,,,,Urane,Flying
khuda,khoda,,,,khuda,God
hairan,heraan,heran,hirran,hiran,hairan,Astonished
khodna,khoodina,,,,khodna,Dig
kasam,kassam,kasm,ksm,Qasam,kasam,Oath
tarapna,,,,,tarapna,Yearning
danishwar,danishwer,danishwr,daneshwer,,danishwar,Scholar
najaat,nijaat,nijaad,nijad,najat,nijaat,Salvation
Darjano,darjeno,derjano,,,Darjano,Stages
dawedar,dawedaar,davedar,,,dawedar,Heir
phelane,,,,,phelane,Spread
mai,m,mn,Main,men,Main,I
lassi,lasi,lasse,,,lassi,Yogurt drink
anparh,anperh,,,,anparh,Illiterate
masseha,maseeha,maseha,,,maseeha,Savior
Hamdardi,hamderdi,humdardi,humdrdi,hamdarde,hamderdi,Sympathy
likhwa,likhwaa,lkhwa,,,likhwa,Dictate
Sabaz,sabiz,,,,sabiz,Clear
niklain,Niklay,nikley,niklien,nikly,nikly,Emerged
udhar,udhr,udr,udrr,udher,udhar,There
karein,karen,karey,kareyn,karien,karen,Do
nishandahi,,,,,nishandahi,Observation
jeya,jeeya,jiya,jia,jea,jeya,Alive
adeeb,,,,,adeeb,Writer
saisi,saise,syasi,siasi,siyasi,saisi,Rational
nifaaz,nifas,,,,nifaaz,Structure
parey,pary,Parry,,,parey,Pages
gaddi,Gadi,guddi,,,gaddi,Throne
pahonchna,pahonchina,pohochina,pohichna,,pahonchna,Reach
nazd,nuzid,,,,nuzid,Stubborn
Qiraat,,,,,Qiraat,Recitation
Akhlaq,akhlaaque,ikhlaq,ekhlaque,ekhlaq,ikhlaq,Morals
ikhtetami,ikhtetame,ikhtitame,ikhtitami,,ikhtetame,Conclusion
falsafa,fulsafa,,,,falsafa,Philosophy
ghazlon,gazlon,ghazloun,,,ghazlon,Poems
raze,razi,raazi,,,razi,Satisfied
raoz,roz,rooz,,,roz,Daily
dehat,dihat,dehaat,,,dehat,Rural
maf,moaf,maff,maaf,,maf,Pardon
tashreeh,tashreh,,,,tashreeh,Explanation
sakengi,sakngi,,,,sakengi,Will stop
rakshe,rikshay,rakshay,,,rikshay,Rickshaws
